mid,pset1,pset2,pset3,pset4,pset5,pset6,q1,q1,q2,q3,q4,q5,q6,midtermRaw,finalRaw,TotalPoints,psetTotal,quizTotal,recitationTotal,midterm,FinalExam,CourseGrade
6,49,43,38,50,31.67,46,16,19,17,18,17,20,18.5,87,61.5,95.15142857,18.08,27.75,10,21.75,17.57142857,A
119,32,20,35,50,45,36,5,6,9,12,12,5.5,4,21,9,46.10233766,15.84,13.35,9.090909091,5.25,2.571428571,C
W3,,,,0,0,,4,4,,,,,,48,,12,0,0,0,12,0,W
3,49,42,50,50,48.33,47,18,20,19,20,17,11,19,85.5,63.5,97.56452381,19.54666667,28.5,10,21.375,18.14285714,A
105,49,37,42,38.33,40,44,8.5,8.5,16,10,13,10,17,50,27.5,61.76926407,17.06666667,19.8,4.545454545,12.5,7.857142857,C
99,48,40,31,43.33,45,40,12,12,13,17,17,,6,43,43,64.40601732,17.30666667,17.7,6.363636364,10.75,12.28571429,C
121,,42,35,45,40,,3,5,14,3,14,,,53,20,44.47883117,10.16,9.9,5.454545455,13.25,5.714285714,C
75,47,32,34,48.33,45,45,12,16,17,13,17,,16,47.5,42,71.22166667,17.54666667,19.8,10,11.875,12,B
34,48,47,36,50,41.67,41,14,17,13,15,15,16,9,68,60,81.51982684,18.21333333,22.8,6.363636364,17,17.14285714,B+
95,39,41,44,50,43.33,47,6.5,7.5,9,18,17,10,7,32.5,43.5,65.21205628,18.02666667,18.45,8.181818182,8.125,12.42857143,C+
52,49,33,46,50,45,39,13,19,16,17,16,13,10,45.5,52.5,78.08590909,18.32,24.3,9.090909091,11.375,15,B+
2,49,43,38,50,43.33,49,14,20,19,20,20,19,20,76.5,71,97.85738095,18.74666667,29.7,10,19.125,20.28571429,A
W2,43,44,40,50,43.33,40,7,11,19,,,10.5,9,80,48.5,65.45199134,17.62666667,12.15,1.818181818,20,13.85714286,C+
56,50,38,47,50,48.33,47,14,16,13,15,14,9,9,52.5,64,77.26101732,19.38666667,20.1,6.363636364,13.125,18.28571429,B
116,49,,23,45,0,32,9,11,17,,13,12,13,22,33.5,50.76415584,11.92,16.5,7.272727273,5.5,9.571428571,C
11,48,45,50,50,48.33,40,18,18,19,15,20,19,8,84.5,66,92.95244589,19.30666667,27.3,6.363636364,21.125,18.85714286,A
57,48,45,45,45,48.33,41,10,14,15,17,20,11,8,52.5,54.5,76.6667316,18.50666667,23.1,6.363636364,13.125,15.57142857,B
24,48,36,44,50,43.33,33,14,18,19,18,17,13.5,19,71,53.5,85.31510823,17.70666667,27.3,7.272727273,17.75,15.28571429,A
28,48,44,30.5,50,25,47,14,18,19,15,14,11,20,63.5,57,83.70253247,17.56,25.8,8.181818182,15.875,16.28571429,A
107,40,30,42,50,43.33,42,8,12,16,18,14,,10.5,44,38.5,61.0230303,17.38666667,18,3.636363636,11,11,C
5,49,46,46,50,45,48,14,18,19,17,20,17.5,19.5,77,69,95.37519481,19.12,28.2,9.090909091,19.25,19.71428571,A
49,50,43,47,48.33,46.67,38,8.5,12.5,16,17,14,12,13,55,54.5,78.96233766,18.8,21.75,9.090909091,13.75,15.57142857,B+
103,40,49,50,45,36.67,40,6,10,14,20,11,7,9,34.5,29,63.12162338,17.92,19.2,9.090909091,8.625,8.285714286,C
9,49,43,47,50,46.67,47,16,20,18,20,20,15,20,74.5,60,94.34119048,19.17333333,29.4,10,18.625,17.14285714,A
16,49,49,49,50,48.33,45,12,16,18,15,20,16,12,83.5,45.5,89.00166667,19.62666667,25.5,10,20.875,13,A
64,49,35,39,50,25,16,14,16,18,15,17,14,13,61,39,74.41467532,15.84,24,8.181818182,15.25,11.14285714,B
